observed_at	2026-09-21 12:34:54.639
order	{"id": "26b83faa-1392-4107-af6e-da57a951d7fd", "plan": "plus", "status": "CLOSED", "created": "2026-09-01 14:17:17.872000", "attempts": 20, "consumed": 0, "finished": "2026-09-01 14:25:52.340000", "publicNo": "PJV1-zffo7WJvbKcPECKcCxzx", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "c3c42882-9b31-4270-b201-944b99d8d77b", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-02 02:29:51.421000", "attempts": 1, "consumed": 0, "finished": "2026-09-02 02:33:45.430000", "publicNo": "PJV1-T4ZOp1MpFM0G6sXehOYX", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "PROVIDER_CONFIRMED_FAILURE", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "82bc219c-f0f6-4808-89be-77b1a05f691e", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-02 02:41:19.133000", "attempts": 1, "consumed": 0, "finished": "2026-09-02 02:57:08.377000", "publicNo": "PJV1-u696SEuwCQqyReHZ_FmP", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 1, "openAlerts": 0, "activeFunds": 0, "failureCode": "PROVIDER_CONFIRMED_FAILURE", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "b0770450-b367-4364-b884-9cdce0150441", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-04 05:53:04.846000", "attempts": 1, "consumed": 0, "finished": "2026-09-04 06:19:53.845000", "publicNo": "PJV1-GodDHJHDQnURKz62CmYU", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "PROVIDER_CONFIRMED_FAILURE", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "614aa0e1-76f9-4122-b15c-95c3ce628225", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-04 11:50:32.224000", "attempts": 1, "consumed": 0, "finished": "2026-09-04 12:41:22.568000", "publicNo": "PJV1-tw-hliEBgnOfdEVsxn5r", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "PROVIDER_CONFIRMED_FAILURE", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "74cdf66b-55fb-41b9-bf3b-2138c93a0da1", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-09-05 00:01:56.974000", "attempts": 1, "consumed": 1, "finished": "2026-09-09 07:06:40.094000", "publicNo": "PJV1-7EYSr3AZfjVl5JZQwTZt", "cancelled": 1, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "2cc3cadf-19c0-46fc-87c6-b8ad447abd58", "plan": "plus", "status": "CLOSED", "created": "2026-09-05 03:00:18.209000", "attempts": 0, "consumed": 0, "finished": "2026-09-07 14:40:32.875000", "publicNo": "PJV1-lxez72TytHc1O6QZxjNd", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "2020c35e-0df9-4d16-8fcb-19bc4facc105", "plan": "plus", "status": "CLOSED", "created": "2026-09-05 05:51:10.255000", "attempts": 0, "consumed": 0, "finished": "2026-09-07 14:40:32.913000", "publicNo": "PJV1-kIPF1w9XEePjjxcKx9Qz", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "b90190c1-f86c-4f83-a441-0ebc20bc06d0", "plan": "plus", "status": "CLOSED", "created": "2026-09-05 07:04:20.127000", "attempts": 0, "consumed": 0, "finished": "2026-09-06 03:49:37.754000", "publicNo": "PJV1-eqTeit7QVMx-qPqIfjJi", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "f7cfac01-e311-43a1-b269-00ce1d08dd74", "plan": "plus", "status": "CLOSED", "created": "2026-09-05 12:45:38.884000", "attempts": 1, "consumed": 0, "finished": "2026-09-06 03:46:03.790000", "publicNo": "PJV1-AH6M688B3Wfv5_vxISmp", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "6bec2a05-faf8-4eb4-b92b-c53c5021c028", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-09-06 04:43:05.548000", "attempts": 1, "consumed": 1, "finished": "2026-09-06 16:40:28.046000", "publicNo": "PJV1-RCbAiI0IkGMy-hCBgMSn", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "COMPLETED:PAYMENT_CONFIRMED:RESOLVED:PLUS_CONFIRMED", "submitOps": 0, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "f8622308-2099-4053-9e7e-d6b7f52a7e34", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-07 08:32:25.092000", "attempts": 2, "consumed": 0, "finished": "2026-09-07 12:21:35.051000", "publicNo": "PJV1--j4AnE7fvfgkvaceSr0Z", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "BROWSER_RETRY_LIMIT", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "e1297df1-3d97-4f54-8e4f-703adc8ce8b1", "plan": "pro_20x", "status": "CLOSED", "created": "2026-09-08 00:21:16.596000", "attempts": 0, "consumed": 0, "finished": "2026-09-08 00:38:27.884000", "publicNo": "PJV1-1llPonXqruRkU71jurLQ", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": false, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "9ba953fa-c0e2-4269-b9ab-d0822e8264bd", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 01:32:57.055000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 02:17:04.491000", "publicNo": "PJV1-S8Lw4c3DjBAmmIduJWmM", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "CHECKOUT_NAVIGATION_FAILED", "cdkPointsHere": false, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "916bfb7b-e96b-42fd-8826-9d80ddbd1917", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 03:16:12.850000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 03:18:58.153000", "publicNo": "PJV1-_Oh83-7Kb73bfARusefj", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "CHECKOUT_NAVIGATION_FAILED", "cdkPointsHere": false, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "5bb04df0-f315-4840-b035-0ea423dd37cf", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 04:03:13.622000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 04:05:12.455000", "publicNo": "PJV1-ZlQY9YkLOALyTKdAQ-V1", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "PAYMENT_EXECUTION_FAILED", "cdkPointsHere": false, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "d7238d0e-08fa-470e-a271-59c863a6550c", "plan": "pro_20x", "status": "RECHARGE_SUCCESS", "created": "2026-09-08 04:19:40.315000", "attempts": 1, "consumed": 1, "finished": null, "publicNo": "PJV1-_VjINYXkOLLdiBrjpSZo", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "COMPLETED:PAYMENT_CONFIRMED:VERIFYING_PAYMENT:PLUS_CONFIRMED", "submitOps": 1, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "773ec0cf-528f-4e99-9334-e0e1fe771925", "plan": "plus", "status": "CLOSED", "created": "2026-09-08 06:51:50.142000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 07:01:08.725000", "publicNo": "PJV1-8O_naFQZse12k9gevmMF", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "77fbb663-3365-4f55-b840-aade6aba4a4c", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 07:03:13.808000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 07:40:03.942000", "publicNo": "PJV1-UFi8HdWBOzW3iuRY2E9O", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_UNKNOWN:VERIFYING_PAYMENT:NOT_STARTED", "submitOps": 1, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CARD_DECLINED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "2e43a1ff-d4ca-4a4d-a9d1-9832de5ac857", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 07:41:19.095000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 07:55:13.786000", "publicNo": "PJV1-LDPgRA2q602xzjaqwfb9", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_UNKNOWN:VERIFYING_PAYMENT:NOT_STARTED", "submitOps": 1, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CARD_DECLINED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "1e231d38-ddc9-4f17-bf0c-432d8b6c9d88", "plan": "pro_20x", "status": "RECHARGE_FAILED", "created": "2026-09-08 07:58:48.109000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 08:12:04.363000", "publicNo": "PJV1-1UfNSeEEpGA-vxgTq1kN", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_UNKNOWN:VERIFYING_PAYMENT:NOT_STARTED", "submitOps": 1, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CARD_DECLINED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "d34d2dd3-1d67-4e5f-b94b-cb8b31fe7598", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-08 10:11:53.632000", "attempts": 1, "consumed": 0, "finished": "2026-09-08 10:23:15.410000", "publicNo": "PJV1-gEKsTevDVt6dnCvMs9Jr", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_ARMED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "CHECKOUT_DRIFT", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "b33d6981-05ca-4edb-9b4d-17cc793aafb6", "plan": "plus", "status": "CLOSED", "created": "2026-09-09 04:17:00.113000", "attempts": 3, "consumed": 0, "finished": "2026-09-09 07:07:34.934000", "publicNo": "PJV1-zLUtyjBjxrYnQsLeTpBN", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "d34a503b-8718-4d35-9157-bd7410ad0cd6", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-09-09 14:51:23.043000", "attempts": 0, "consumed": 1, "finished": "2026-09-09 15:24:14.386000", "publicNo": "PJV1-VHl_hgWctg78JwDajOVR", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 1}
order	{"id": "c35ec159-80c7-4864-b486-967e04832dcf", "plan": "pro_20x", "status": "CLOSED", "created": "2026-09-10 03:06:09.080000", "attempts": 0, "consumed": 0, "finished": "2026-09-10 07:05:16.356000", "publicNo": "PJV1-LiucIQwmhk_Sph65-6Ja", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "d9b635fc-fd50-4342-b2bd-2e4147ebd056", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-09-10 14:29:29.956000", "attempts": 0, "consumed": 0, "finished": "2026-09-11 02:36:33.771000", "publicNo": "PJV1-DqcnqHF0tPlxDhygTtAA", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": true, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 1}
order	{"id": "2f079c32-188c-4f97-b952-769f5952dc21", "plan": "plus", "status": "CLOSED", "created": "2026-09-11 07:18:25.835000", "attempts": 1, "consumed": 0, "finished": "2026-09-11 08:15:40.835000", "publicNo": "PJV1-9TN0gGX-I5rRdhXxLrq7", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 1, "runStates": "FAILED_SAFE:PAYMENT_DECLINED:RESOLVED:NOT_STARTED", "submitOps": 1, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 2, "activeFunds": 0, "failureCode": "HUMAN_VERIFIED_NOT_CHARGED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "ee7cfb7e-cb89-4eec-a367-463091ac6677", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-11 09:35:41.340000", "attempts": 1, "consumed": 0, "finished": "2026-09-11 09:46:35.681000", "publicNo": "PJV1-fQfm9fp_JZ2J10gGPzcL", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_ARMED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "CHECKOUT_DRIFT", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "f54f0641-230a-4704-9770-14ae8dc8cb54", "plan": "plus", "status": "CLOSED", "created": "2026-09-11 10:30:21.115000", "attempts": 1, "consumed": 0, "finished": "2026-09-11 10:49:18.383000", "publicNo": "PJV1-CkFQM-aahxjZdJZX8vkY", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:PAYMENT_DECLINED:RESOLVED:NOT_STARTED", "submitOps": 1, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 1, "activeFunds": 0, "failureCode": "HUMAN_VERIFIED_NOT_CHARGED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "31604f39-4516-41e1-a266-b929b180de1e", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-09-11 11:10:03.630000", "attempts": 1, "consumed": 1, "finished": "2026-09-11 11:15:15.961000", "publicNo": "PJV1-ztS9FZ3QcwHopTmZRfDY", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": "COMPLETED:PAYMENT_CONFIRMED:RESOLVED:CANCELLATION_CONFIRMED", "submitOps": 1, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 3, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "50fca989-41ce-4451-9359-c7682f0ac6e6", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-12 09:25:54.563000", "attempts": 1, "consumed": 0, "finished": "2026-09-12 09:26:31.295000", "publicNo": "PJV1--wEBaAETWx_pKBpTZVp9", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 2, "activeFunds": 0, "failureCode": "CHATGPT_ACCESS_BLOCKED", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "d5a72a2e-28f3-4099-a452-92f00d4d9bbe", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-12 12:41:48.310000", "attempts": 2, "consumed": 0, "finished": "2026-09-12 12:46:23.472000", "publicNo": "PJV1-oTx94aS9QljSHxft9HMf", "cancelled": null, "cdkStatus": "AVAILABLE", "openCases": 0, "runStates": "FAILED_SAFE:NOT_STARTED:NOT_REQUIRED:NOT_STARTED", "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 2, "activeFunds": 0, "failureCode": "PAGE_DRIFT", "cdkPointsHere": null, "activeAssignments": 0, "cancellationReview": 0}
